"Slice","Name","Invested value","Value","Result","Owned quantity","Dividends gained","Dividends cash","Dividends reinvested"
"CCL","Carnival Corp",64.64,87.24,22.6,"3.73717236","N/A","N/A","N/A"
"UBER","Uber Technologies",79.94,85.75,5.81,"1.27569263","N/A","N/A","N/A"
"WFC","Wells Fargo & Co",81.03,87.1,6.07,"1.48977484","N/A","N/A","N/A"
"OKTA","Okta",84.55,73.75,-10.8,"1.09395558","N/A","N/A","N/A"
"PYPL","PayPal",73.99,70.93,-3.06,"1.40498081","N/A","N/A","N/A"
"SYF","Synchrony Financial",65.35,81.29,15.94,"1.45043797","N/A","N/A","N/A"
"ALL","Allstate",72.77,71.71,-1.06,"0.47885571","N/A","N/A","N/A"
"AGX","Argan",64.08,70.96,6.88,"0.45473774","N/A","N/A","N/A"
"SKYW","SkyWest",69.56,79.46,9.9,"0.9026711","N/A","N/A","N/A"
"PPC","Pilgrim's Pride",77.27,68.39,-8.88,"2.08736332","N/A","N/A","N/A"
"LRN","Stride",70.26,75.34,5.08,"0.63507618","N/A","N/A","N/A"
"EAT","Brinker International",72.68,73.11,0.43,"0.62284363","N/A","N/A","N/A"
"ATGE","Adtalem Global Education",70.56,78.95,8.39,"0.79377027","N/A","N/A","N/A"
"KGC","Kinross Gold",72.5,74.42,1.92,"4.54637113","N/A","N/A","N/A"
"STRL","Sterling Infrastructure",70.48,86.89,16.41,"0.40695934","N/A","N/A","N/A"
"EZPW","EZCORP",76.11,82.36,6.25,"6.65553041","N/A","N/A","N/A"
"WLDN","Willdan",67.58,89.16,21.58,"1.21776703","N/A","N/A","N/A"
"DXPE","DXP Enterprises",67.37,84.11,16.74,"0.90971461","N/A","N/A","N/A"
"APP","AppLovin",72.33,103.81,31.48,"0.26899817","N/A","N/A","N/A"
"CRDO","Credo Technology",72.25,140.27,68.02,"1.35417537","N/A","N/A","N/A"
"CLS","Celestica",76.96,147.69,70.73,"0.82265682","N/A","N/A","N/A"
"SSRM","SSR Mining",71.7,113.68,41.98,"7.25348763","N/A","N/A","N/A"
"TWLO","Twilio",75.31,72.85,-2.46,"0.90859906","N/A","N/A","N/A"
"ARQT","Arcutis Biotherapeutics",75.24,85.04,9.8,"6.69640513","N/A","N/A","N/A"
"UNFI","United Natural Foods",83.4,85.92,2.52,"3.98782579","N/A","N/A","N/A"
"MFC","Manulife Financial Corp",67.97,66.38,-1.59,"2.92393657","N/A","N/A","N/A"
"Total","SA Alpha Picks 2025",1895.88,2236.56,340.68,"-","7.49","2.49","5"
