"Slice","Name","Invested value","Value","Result","Owned quantity","Dividends gained","Dividends cash","Dividends reinvested"
"MSFT","Microsoft",4.39,4.46,0.07,"0.01219277","N/A","N/A","N/A"
"AMZN","Amazon",4.78,4.72,-0.06,"0.02751014","N/A","N/A","N/A"
"AAPL","Apple",4.77,4.76,-0.01,"0.026891","N/A","N/A","N/A"
"META","Meta Platforms",4.46,4.65,0.19,"0.00838007","N/A","N/A","N/A"
"NVDA","Nvidia",4.21,4.43,0.22,"0.03608969","N/A","N/A","N/A"
"GOOG","Alphabet (Class C)",4.69,5.23,0.54,"0.03006273","N/A","N/A","N/A"
"RCL","Royal Caribbean Cruises",2.29,2.34,0.05,"0.00900272","N/A","N/A","N/A"
"V","Visa",2.29,2.24,-0.05,"0.0088229","N/A","N/A","N/A"
"MA","Mastercard",2.29,2.24,-0.05,"0.00517734","N/A","N/A","N/A"
"AMD","Advanced Micro Devices",2.29,2.14,-0.15,"0.01930113","N/A","N/A","N/A"
"AVGO","Broadcom",2.29,2.63,0.34,"0.01069032","N/A","N/A","N/A"
"JPM","JPMorgan Chase & Co",2.29,2.26,-0.03,"0.01036948","N/A","N/A","N/A"
"PH","Parker-Hannifin",2.29,2.3,0.01,"0.0040914","N/A","N/A","N/A"
"TMUS","T-Mobile US",2.29,2.24,-0.05,"0.01202618","N/A","N/A","N/A"
"LLY","Eli Lilly & Co",2.29,2.31,0.02,"0.00430492","N/A","N/A","N/A"
"AMAT","Applied Materials",2.29,2.33,0.04,"0.01943559","N/A","N/A","N/A"
"DELL","Dell Technologies",2.29,2.3,0.01,"0.02495724","N/A","N/A","N/A"
"HCA","HCA Healthcare",2.29,2.37,0.08,"0.00756987","N/A","N/A","N/A"
"NVO","Novo Nordisk",2.29,2.26,-0.03,"0.05526847","N/A","N/A","N/A"
"BKNG","Booking",2.29,2.23,-0.06,"0.00054805","N/A","N/A","N/A"
"SNPS","Synopsys",2.29,2.26,-0.03,"0.00514761","N/A","N/A","N/A"
"NOW","ServiceNow",2.29,2.32,0.03,"0.00342862","N/A","N/A","N/A"
"AXON","Axon Enterprise",2.29,2.23,-0.06,"0.00413334","N/A","N/A","N/A"
"ETN","Eaton",2.29,2.31,0.02,"0.00897347","N/A","N/A","N/A"
"CDNS","Cadence Design Systems",2.29,2.32,0.03,"0.00893155","N/A","N/A","N/A"
"AJG","Arthur J Gallagher & Co",2.29,2.24,-0.05,"0.01011948","N/A","N/A","N/A"
"ARES","Ares Management",2.29,2.25,-0.04,"0.01734985","N/A","N/A","N/A"
"MCK","McKesson",2.29,2.27,-0.02,"0.00446059","N/A","N/A","N/A"
"PAYX","Paychex",2.29,2.21,-0.08,"0.02205716","N/A","N/A","N/A"
"TT","Trane Technologies",2.29,2.25,-0.04,"0.00736543","N/A","N/A","N/A"
"APH","Amphenol",2.29,2.36,0.07,"0.02883661","N/A","N/A","N/A"
"MPWR","Monolithic Power Systems",2.29,2.38,0.09,"0.00372247","N/A","N/A","N/A"
"PGR","Progressive",2.29,2.21,-0.08,"0.0122301","N/A","N/A","N/A"
"RSG","Republic Services",2.29,2.2,-0.09,"0.01301443","N/A","N/A","N/A"
"BSX","Boston Scientific",2.29,2.3,0.01,"0.02921971","N/A","N/A","N/A"
"ORLY","O'Reilly Automotive",2.29,2.28,-0.01,"0.02950683","N/A","N/A","N/A"
"AZO","AutoZone",2.29,2.28,-0.01,"0.00073189","N/A","N/A","N/A"
"COR","Cencora",2.29,2.25,-0.04,"0.01038896","N/A","N/A","N/A"
"PWR","Quanta Services",2.29,2.26,-0.03,"0.00824703","N/A","N/A","N/A"
"BRO","Brown & Brown",2.29,2.2,-0.09,"0.03155988","N/A","N/A","N/A"
"HWM","Howmet Aerospace",2.29,2.36,0.07,"0.01784859","N/A","N/A","N/A"
"JBL","Jabil",2.29,2.37,0.08,"0.01519632","N/A","N/A","N/A"
"WRB","W R Berkley",2.29,2.27,-0.02,"0.04250809","N/A","N/A","N/A"
"BRK.A","Berkshire Hathaway (Class A)",2.29,2.28,-0.01,"0.00000411","N/A","N/A","N/A"
"Total","Alps Q5+ May 2025",114.32,115.1,0.78,"-","0.14","0","0.11"
